ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
E-275,Blackwater Creek Preseve,2018,"A 1,993 acre preserve in Plant City predominately pine flatwoods, palmetto prairie and riverine swamp with scattered areas of oak hammock, cypress swamp, freshwater marsh and wet prairie.","Blackwater Creek Preserve removal of invasive vegetation located in Hillsborough County.  A 1,993 acre preserve in Plant City predominately pine flatwoods, palmetto prairie and riverine swamp with scattered areas of oak hammock, cypress swamp, freshwater marsh and wet prairie. Invasive plants were removed/controlled from 54 acres to provide habitat for native plants and wildlife.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",,Mix (freshwater and upland),Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,54,,,28.13527,-82.15874,Hillsborough County,,,,,,,,,,,,,,,
E-276,Bower Tract Non-native plant removal and control,2018,"The project area includes coastal uplands, mangroves, intact and ditched, mangrove and upland islands, salt barrens and fresh water wetlands. The site is bisected by Channel A which includes the manmade channel berms. These habitats are primarily in a healthy condition with scattered non-native vegetation occurring throughout the site.","The 167 acre Bower Tract Non-native plant removal and control project in Hillsborough County is intended to remove and control non-native and nuisance plants using a variety of methods. The project area includes coastal uplands, mangroves, intact and ditched, mangrove and upland islands, salt barrens and fresh water wetlands. There were 10 large ear pod trees on the eastern berm of Channel A that were cut down and all biomass removed from the site. Stumps were treated with herbicide to prevent re-sprouting. A skid steer with a forestry mulcher was used to clear non-native vegetation on the western Channel A berm and on the firelanes in the uplands. Areas were then treated with herbicide.",,"Mix (estuarine, freshwater, and upland)",Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,187,,,28.01368,-82.61612,Hillsborough County,,,,,,,,,,,,,,,
E-277,Cypress Creek Nature Preserve,2018,"The 2500-acre Cypress Creek Nature Preserve is part of a vast wildlife corridor which extends into Pasco and Polk Counties. Cypress Creek drains into the Hillsborough River and thus provides important water quality benefits to the region. Natural habitats within the preserve include hardwood forests and swamps, pine flatwoods, wet prairies, cypress stands and freshwater marshes.","Cypress Creek Nature Preserve effort to restore 11 acres of flatwoods’ biodiversity and reduce the high fuel loads through mechanical thinning with use of mulching head mower equipment. Use of roller chopping to mechanically remove vegetation.  The 2500-acre Cypress Creek Nature Preserve is part of a vast wildlife corridor which extends into Pasco and Polk Counties. Cypress Creek drains into the Hillsborough River and thus provides important water quality benefits to the region. Natural habitats within the preserve include hardwood forests and swamps, pine flatwoods, wet prairies, cypress stands and freshwater marshes.",,Upland,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,11,,,28.13515,-82.40181,Hillsborough County,,,,,,,,,,,,,,,
E-278,Invasive Plant Removal at Gandy Boat Ramp,2018,A public boat ramp area consisting of estuarine shoreline and invasive plants.,Invasive Plant Removal at Gandy Boat Ramp.  A public boat ramp area consisting of estuarine shoreline and invasive plants. Removal of approximately 1 acre of invasive plant Invasive Plant Removal at Gandy Boat Ramp.  A public boat ramp area consisting of estuarine shoreline and invasive plants. Removal of approximately 1 acre of invasive plant species from the shorelines (Brazilian Pepper species from the shorelines (Brazilian Pepper and Lead Trees) in Hillsborough County and the City of Tampa.  Project benefits to improve water quality and provide protection and increase habitat for fish/shellfish. This project effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats.,,Estuarine,Intertidal Estuarine (Other),Invasives Control/Removal - Vegetation,,Enhancement,,1,,,27.89221,-82.5336,Hillsborough County,,,,,,,,,,,,,,,
E-279,Little Manatee River Preserve,2018,"This nature preserve contains wetlands, uplands and supports habitats for many species of wildlife.  This area has been designated a Florida Scenic Birding Trail.","Little Manatee River Preserve enhancement effort to control/remove vegetation on 330 acres located in Hillsborough County. This nature preserve contains wetlands, uplands and supports habitats for many species of wildlife. ",,Mix (freshwater and upland),Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,330,,,27.67584,-82.30174,SWFWMD,,,,,,,,,,,,,,,
E-280,McKay Bay Greenway,2018,The complete McKay Bay Park and Greenway encompass about 200 acres.,"The complete McKay Bay Park and Greenway located in Hillsborough County encompass about 200 acres.  However, this project only encompasses 26 acres of forested/woodland enhancements; removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",,Upland,Coastal Uplands,Invasives Control/Removal - Vegetation,,Enhancement,,26,,,27.95399,-82.41599,City of Tampa,,,,,,,,,,,,,,,
E-281,McKay Invasive Plant and Litter Removal at McKay Bay Nature Park,2018,Mangrove shoreline and mud flats,"Invasive plant and litter removal of 38 acres of mangrove shoreline and mud flats at McKay Bay Nature Park located in Hillsborough County.  Eradicate invasive plant species, remove litter and debris from McKay Bay Nature Park and Preserve. Plant mangroves along shoreline to prevent erosion. Approximately 1,091 volunteers worked to remove 47 tires, 50,320 pounds of trash and debris (including 27,680 pounds of invasive plants) and planted 50 mangroves.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",,Estuarine,Mangrove Forests,Invasives Control/Removal - Vegetation,,Enhancement,,38,,,27.95229,-82.42189,City of Tampa,,,,,,,,,,,,,,,
E-282,Pam Callahan Nature Preserve,2018,"Local park in Riverview, Florida containing several important habitats within roughly 150 acres.","Pam Callahan Nature Preserve removal of invasive vegetation located on 22 acres in Hillsborough County.  This is a local park in Riverview, Florida containing several important habitats within roughly 150 acres. Invasive plants were removed/controlled to provide habitat for native plants and wildlife. This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",,Upland,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,22,,,27.98148,-82.56686,Hillsborough County,,,,,,,,,,,,,,,
E-283,Philippe Park Exotic Treatment,2018,Unmowed natural areas in Philippe Park,The Philippe Park exotic treatment of 16 acres of unmowed natural areas in the park located in Pinellas County.  Removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife. Project benefits include water quality improvements as well as protection/improvement for increased habitat for other wildlife.  The site is under maintenance control.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,,Upland,Coastal Uplands,Invasives Control/Removal - Vegetation,,Enhancement,,16,,,28.0051,-82.67757,Pinellas County,,,,,,,,,,,,,,,
E-284,Redus Preserve,2018,The Redus Preserve parcel is roughly an additional 40 acres in the Little Manatee River watershed.,Redus Preserve removal of invasive vegetation on 22 acres located in Hillsborough County. The Redus Preserve parcel is roughly an additional 40 acres in the Little Manatee River watershed.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.  Project benefits include water quality improvements and protect/provide for increases habitat for other wildlife. This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,,Upland,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,22,,,27.69314,-82.45188,Hillsborough County,,,,,,,,,,,,,,,
E-285,Rock Ponds Ecosystem Restoration,2018,Intertidal wetland habitat in Southern Hillsborough County,Rock Ponds Ecosystem Restoration tidal wetland habitat enhancement of .34 acres in Southern Hillsborough County. Paspalum vaginatum is utilized for shoreline stabilization and habitat enhancement at the project location.  The benefits of this project include erosion control and improve water quality.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,,Estuarine,Intertidal Estuarine (Other),Shoreline Stabilization/Enhancement,,Enhancement,,0.34,,,27.66515,-82.50943,Tampa Bay Watch,,,,,,,,,,,,,,,
E-286,Town and Country Preserve,2018,"This preserve is home to pine flatwoods, freshwater marshes, and hardwood swamps.","This Town and Country preserve is home to pine flatwoods, freshwater marshes, and hardwood swamps.  Mechanical enhancement/reduction of 12 acres of hardwoods; trees, shrubs and plants to encourage native species growth.  Project benefit to protect/improve water quality and to provide habitat for other wildlife.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",,Upland,Uplands (Non-coastal),Other,,Enhancement,,12,,4000,28.02552,-82.60217,Hillsborough County,,,,,,,,,,,,,,,
E-287,Tropicana Nature Preserve,2018,"Forested uplands, flatwoods with invasive plants.","Tropicana Nature Preserve vegetation control/removal effort on 75 acres in  Hillsborough County.  Maintenance removal of exotic, invasive vegetation in forested uplands and flatwoods to allow native plants to recruit to the natural areas.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",,Upland,Uplands (Non-coastal),Invasives Control/Removal - Vegetation,,Enhancement,,75,,,27.65292,-82.24937,Hillsborough County,,,,,,,,,,,,,,,
E-288,Weedon Island Preserve Exotic Vegetation Maintenance,2018,vegetated uplands and mosquito ditches,Exotic vegetation maintenance control/removal of vegetation; consisting of herbicide spraying of exotic vegetation throughout 300 acres of Weedon Island Preserve. All Florida Exotic Pest Plant Council Category I and II exotic vegetation was targeted.  Project benefits include water quality improvements and provide for protection and increased of wildlife.  Pinellas County (Parks) is the lead implementer.,,Mix (estuarine and upland),Coastal Uplands,Invasives Control/Removal - Vegetation,,Enhancement,,228,,,27.85094,-82.60723,Pinellas County,,,,,,,,,,,,,,,
LS-079,Apollo Beach Coastal Restoration,2018,Supratidal bank with sandy substrate and a sparse population of upper-wetland plants. Eight breakwaters located directly offshore with developing oyster reefs.,Apollo Beach coastal restoration/enhancement of 4000 linear feet of tidal wetland planting with sandy substrate and a sparse population of upper-wetland plants located in Hillsborough County.  Students were from East Bay High School and Lennard High School,,Estuarine,Intertidal Estuarine (Other),,,Restoration,,,,4000,27.79247,-82.41909,Hillsborough County, ,,0,, ,Planting,,,,,,, ,,
LS-080,Fantasy Island Community Creation and Shoreline,2018,Artificial Reefs (oyster domes and oyster shell bar placed along shoreline).,Fantasy Island Community creation and shoreline of artificial reefs; oyster domes and oyster shell bar placed along .21 acres of shoreline. The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in,,estuarine,Oyster Bars,,,Restoration,,,,126,27.86775,-82.42516,Tampa Bay Watch, ,,0,, ,Reef Construction - Natural Materials,,,,,,, ,,x
LS-081,Safety Harbor Coastal Restoration,2018,Estuarine intertidal marsh protected from the Bay by mangroves and wetland plants. Small seagrass beds and thick mats of Spartina alterniflora (from previous TBW wetland plant restoration efforts) occupy the landward side of the mangrove-settled shorelin,"Safety Harbor coastal estuarine shoreline restoration of 1.82 acres located in the City of Safety Harbor. Students were from Lakewood High School, Dowdell Middle School, Canterbury School of Florida and Channelside Academy of Math and Science.",,Estuarine,Intertidal Estuarine (Other),,,Restoration,,,,80,27.9892,-82.68584,City of Safety Harbor, ,,0,, ,Planting,,,,,,, ,,
R-137,MacDill Mangrove Restoration Phase V,2018,"Wetland creation, marsh, mangrove, and saltern restoration","Wetland creation, marsh, mangrove, and saltern restoration",,Estuarine,Intertidal Estuarine (Other),,,Restoration,,28.4,,,27.83674,-82.52009,Ecosphere Restoration Institute,,,,,,,,,,,,,,,
SEP-004,Julian B. Lane Riverfront Park,2018,Living shoreline along Hillsborough River existing seawall,"Julian B. Lane Riverfront Park living shoreline along Hillsborough River existing seawall.  Native stone rip-rap was placed along 232 linear feet/.03 acres of existing seawall to elevation +1.0 to create planting area at upper elevations, and planted wit",,Estuarine,Living Shorelines,,,Restoration,,,,490,27.95423,-82.46545,City of Tampa, ,,0,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,
E-289,Alafia River Corridor Preserve,2019,"The Alafia River Corridor Preserve, located in Hillsborough County, is a fragmented riverine ecosystem due to previous mining activity along with pine flatwoods.",Contracted Removal of any Category 1 and Category 2 Exotic Species on fragmented riverine system due to previous mining activities along with pine flatwoods,,Upland,Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,444,,,27.825,-82.1339,Hillsborough County,,,20000,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-290,Alafia River State Park Invasive Plant Removal,2019,,29 volunteers removed 500 lbs. of invasive plants from Alafia River State,,Upland,Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,10,,,27.86,-82.121,Keep Tampa Bay Beautiful,,,500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-291,Bell Creek Nature Preserve,2019,"Pine flatwoods along with pockets of xeric oak hammocks, sand pine scrub, and hydric hammocks","Planting of native plant species to create habitat for local wildlife species in pine flatwoods along with pockets of xeric oak hammocks, sand pine scrub, and hydric hammocks",,Mix (freshwater and upland),Uplands (Non-coastal),Planting,,Enhancement,,10,,,27.8412,-82.2974,Hillsborough County,,,39999,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-292,"Coastal Preserves Invasive Plant Maintenance (Emerson, Robinson, Perico, Ungarelli , Neal",2019,"Mixture or created restored and extand estuarine and coastal uplands including Coastal Hammock, Mangrove Swamp, Coastal grasslands with minor Mesic Flatwoods and scrub components",County staff and volunteers employ a variety of techniques to control a broad spectrum of invasive plant species,,Mix (estuarine and upland),Coastal Uplands,Invasives Control/Removal-Vegetation,,Enhancement,,150,,,27.532,-82.628,Manatee County,,,139056,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-293,Courtney Campbell Mangrove Planting,2019,,Volunteers planted 70 red and white mangroves along the Courtney Campbell Causeway North Trail to restore the shoreline and prevent erosion. Keep Tampa Bay Beautiful worked with the City of Tampa Parks Department to select the best sites to make to most impact. ,,Estuarine,Mangrove Forests,Planting,,Enhancement,,5,,,27.97217,-82.60808,Keep Tampa Bay Beautiful,"City of Tampa Parks and Rec, Tree Inc, William Moriaty",,2500,,,Erosion control,,,,,,,,,
E-294,Curiosity Creek Preserve Invasive Plant Maintenance,2019,Matrix of created mitigation herbaceous and forested wetlands with extant flatwoods and hydric hammock areas along Curiosity Creek.,County staff employ a variety of techniques to control a broad spectrum of invasive plant species,,Freshwater,Non-forested Freshwater Wetlands,Invasives Control/Removal-Vegetation,,Enhancement,,18,,,27.646,-82.456,Manatee County,,,300,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-295,Duette Preserve Invasive Plant Maintenance,2019,Mosaic of upland and feshwater wetland habitats,"Contracted and staff initiated control of Cogon grass, Old World Climbing Fern and Brazliian pepper",,Upland,Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,1100,,,27.532,-82.101,Manatee County,FWC,,270900,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-296,Duette Preserve Long Leaf Pine Canopy Restoration,2019,Mesic Flatwoods scrubby flatwoods,"Continue canopy restoration effort in longleaf pine savannahs via planting of 5,000 containereized 1 gallon Long leaf pines(Pinus palustris)",,Upland,Uplands (Non-coastal),Planting,,Enhancement,,150,,,27.532,-82.101,Manatee County,,,17500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-297,E.G. Simmons Regional Park Wetland Plant Restoration,2019,,"Transplanted 850 plugs of Paspalum vaginatum and 2,005 plugs of Spartina alterniflora along shoreline - Wetland grass nurseries are established at local schools where students and teachers raise grasses to be transplanted at a restoration site. Students get education and hand-on restoration experience that may lead them to become environmental stewards in the future.",,Estuarine,Intertidal Estuarine (Other),Planting,,Enhancement,,0.19,,,27.747,-82.472,Tampa Bay Watch,"Hillsborough County and School District, Community Foundation of Tampa Bay, TBERF, North American Partnership for Community Action",,5000,,,Erosion control,,,,,,,,,
E-298,Ed Center Loop South,2019,Sandhill and marsh in Brooker Creek Preserve located in Pinellas County,Prescribed burn in sandhill and marsh in Brooker Creek Preserve,,Mix (freshwater and upland),Uplands (Non-coastal),Prescribed Burn,,Enhancement,,55,,,28.11113,-82.66138,Pinellas County,Florida Forest Service,,2500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-299,Fort De Soto Park Wetland Plant Restoration,2019,,"Transplanted 4,000 plugs of Spartina alterniflora, 100 Rhizophora mangle and 100 Conocarpus erectus along shoreline - Wetland grass nurseries are established at local schools where students and teachers raise grasses to be transplanted at a restoration site. Students get education and hand-on restoration experience that may lead them to become environmental stewards in the future.",,Estuarine,Intertidal Estuarine (Other),Planting,,Enhancement,,0.16,,,27.633,-82.719,Tampa Bay Watch,"Pinellas County, Community Foundation of Tampa Bay, TBERF, North American Partnership for Environmental Community Action",,10000,,,Erosion control,,,,,,,,,
E-300,Fred and Idah Shultz Nature Preserve,2019,"Spoil dredged from Tampa Bay then restored as a coastal habitat",Planting of native plant species to create habitat for local wildlife species on spoil dredged from Tampa Bay then restored to coastal habitat,,Estuarine,Intertidal Estuarine (Other),Planting,,Enhancement,,5,,,27.8121,-82.3937,Hillsborough County,,,3900,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-301,Ft. DeSoto Recirculation Study-Upland Community Planting,2019,"intertidal and upland areas","Community planting project where 100 buttonwood, 4000 spartina, and 100 Red Mangroves were planted at intertidal and upland areas",,Mix (estuarine and upland),Intertidal Estuarine (Other),Planting,,Enhancement,,0.9,,,27.63,-82.709,Pinellas County,"TBEP, TBW",,2000,,RESTORE ACT grant,Erosion control,,,,,,,,,
E-302,Gandy Boat Ramp Invasive Plant Removal,2019,,"70 volunteers removed 4,000 lbs. of invasive plant species from Gandy Boat Ramp",,Estuarine,Intertidal Estuarine (Other),Invasives Control/Removal-Vegetation,,Enhancement,,3,,,27.89281,-82.53328,Keep Tampa Bay Beautiful,"TECO, Hillsborough County, City of Tampa",,500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-303,Give a Day for the Bay: Clam Bayou,2019,"A beautiful nature preserve located in the Broadwater neighborhood. Clam Bayou Nature Preserve is a great destination for avid kayakers or paddlers and nature enthusiast. It also offers recreation trails and the Blueways Trail System.",80 volunteers showed up to plant native plants and remove trash from Clam Bayou park - a great spot in South St. Petersburg to enjoy all nature has to offer.,,Estuarine,Intertidal Estuarine (Other),Planting,,Enhancement,,2,,,27.739,-82.694,Tampa Bay Estuary Program,Keep Pinellas Beautiful,,500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-304,Headwaters Preserve Invasive Plant Maintenance,2019,Mosaic of upland and freshwater wetland habitats,"Contracted and staff initiated control of Cogon grass, Old World Climbing Fern and Brazliian pepper",,Upland,Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,190,,,27.532,-82.101,Manatee County,FWC,,33700,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-305,Hidden Harbor Groundcover Restoration,2019,Former agriculture land restored to pine flatwoods,establishment of desirable native groundcover ,,Upland,Uplands (Non-coastal),Planting,,Enhancement,,44.25,,,27.5249,-82.42,Manatee County,SWFWMD,,72900,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-306,Little Manatee River Corridor Preserve Disking,2019,"Riverine Ecosystem along with pine flatwoods, forested wetlands and former agricultural and cattle fields.","Disking or soil turning is an effective method to break up perennial grasses and uncover seed beds.   Disked riverine ecosystem with pine flatwoods, forested wetlands and former agricultural and cattle fields",,Mix (freshwater and upland),Uplands (Non-coastal),Other,,Enhancement,,160,,,27.6721,-82.2882,Hillsborough County,,,23040,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-307,Little Manatee River Corridor Preserve Invasive Removal,2019,"Riverine Ecosystem along with pine flatwoods, forested wetlands and former agricultural and cattle fields","Contracted Removal of any Category 1 and Category 2 Exotic Species of riverine system with pine flatwoods, forested wetlands, and former agricultural and cattle fields",,Mix (freshwater and upland),Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,195,,,27.6721,-82.2882,Hillsborough County,,,33225,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-308,MacDill Chemical Invasive Control,2019,,"Herbicide treatment of invasive plant species on mix of pine flatwoods, open grassy areas, palmetto",,Upland,Coastal Uplands,Invasives Control/Removal-Vegetation,,Enhancement,,142,,,27.845,-82.533,MacDill Air Force Base,,,17040,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-309,Picnic Island Invasive Plant Removal,2019,,"22 volunteers removed 3,000 lbs. of invasives from Picnic Island Park",,Estuarine,Intertidal Estuarine (Other),Invasives Control/Removal-Vegetation,,Enhancement,,5,,,27.84958,-82.55364,Keep Tampa Bay Beautiful,Boehringer-Ingelheim,,500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-310,Rye Preserve Invasive Plant Maintenance,2019,,Contracted and staff initiated control of a broad spectrum of invasive plant species,,Freshwater,Forested Freshwater Wetlands,Invasives Control/Removal-Vegetation,,Enhancement,,27,,,27.513,-82.364,Manatee County,FWC,,3381,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-311,Rye Preserve Scrub Restoration,2019,,Mechanical vegetation redcution using Brown's tree cutter and chainsaw crews to restor aspect and facilitate prescribed fire for the benefit of gopher tortoises,,Upland,Uplands (Non-coastal),Other,,Enhancement,,45,,,27.51608,-82.36265,Manatee County,"Florida Forest Service, FWC",,21000,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-312,Tampa Invasive Plant Removal,2019,,3 Volunteers removed 3 lbs. of invasive plant species from N Blvd - Lakewood Ave to Fletcher Ave,,Upland,Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,,,10560,28.07744,-82.46759,Keep Tampa Bay Beautiful,Caribbean Cultural Exchange,,500,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-313,Town and Country Preserve,2019,,"Mechanical Hardwood Reduction performed to increase habitat diversity of native trees and plants in pine flatwoods, freshwater marshes, and hardwood swamps.",,Mix (freshwater and upland),Uplands (Non-coastal),Other,,Enhancement,,12,,,28.0241,-82.6007,Hillsborough County,,,8945,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-314,Tropicana - Little Manatee River Corridor Preserve,2019,,Contracted Removal of any Category 1 and Category 2 Exotic Species in Former Cattle Ranch used as a dumping ground for hurricane debris with small areas of pine flatwoods and hydric hammocks,,Mix (freshwater and upland),Uplands (Non-coastal),Invasives Control/Removal-Vegetation,,Enhancement,,85,,,27.6526,-82.2483,Hillsborough County,,,16545,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-315,Ulele Springs Flow Augmentation,2019,Natural spring run,Increase spring flows,,Freshwater,Non-forested Freshwater Wetlands,Stream flow modification,,Enhancement,,1,,,27.959,-82.462,Ecosphere Restoration Institute,"USFWS, FWC, City of Tampa",,80000,,USFWS,restore natural hydrology,,,,,,,,,
E-316,Weedon Island Preserve Exotic Vegetation Maintenance,2019,,Herbicide spraying of exotic vegetation thorughout 300 acres of Weedon Island Preserve.  All FLEPPC Category I & II species targeted on vegetated uplands and mosquito ditches,,Mix (estuarine and upland),Coastal Uplands,Invasives Control/Removal-Vegetation,,Enhancement,,300,,,27.848,-82.608,Pinellas County,,,1000,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-317,MacDill Air Force Base Saltern Restoration,2019,Hydroblasting spoil mounds,Saltern restored,,Estuarine,Salt Barrens,fill removal,,Restoration,,1.8,,,27.83058,-82.51927,Ecosphere Restoration Institute,MacDill Air Force Base,,33000,,Department of Defense,restore natural hydrology,,,,,,,,,
E-318,MacDill Chemical Invasive Control,2019,,Herbicide treatment of invasive plant species in forested wetlands,,Mix (estuarine and freshwater),Intertidal Estuarine (Other),Invasives Control/Removal-Vegetation,,Enhancement,,93,,,27.833,-82.5,MacDill Air Force Base,,,11160,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-319,MacDill Prescribed Burning - Units 4-8/4-9 and EOD (3 burns),2019,,"Prescribed burn on mix of pine flatwoods, open grassy areas, palmetto",,Upland,Coastal Uplands,Prescribed Burn,,Enhancement,,57,,,27.837,-82.51,MacDill Air Force Base,USFWS,,30000,,,Protect/improve/provide habitat for other wildlife,,,,,,,,,
E-320,Rock Ponds Ecosystem restoration Project Wetland Plant Restoration,2019,,"Transplanted 4,250 plugs of Paspalum vaginatum along shoreline - Wetland grass nurseries are established at local schools where students and teachers raise grasses to be transplanted at a restoration site. Students get education and hand-on restoration experience that may lead them to become environmental stewards in the future.",,Estuarine,Intertidal Estuarine (Other),Planting,,Enhancement,,0.57,,,27.659,-82.535,Tampa Bay Watch,"SWFWMD, Community Foundation of Tampa Bay, TBERF, North American Partnership for Environmental Community Action",,10000,,,Erosion control,,,,,,,,,
E-321,McKay Bay South Oyster Reef Creation,2019, ,"Artificial reefs (oyster bags placed along the southwestern shoreline)-The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms",,Estuarine,Oyster Bars,,,Restoration,,,,1664,27.9305,-82.42564,Tampa Bay Watch,"TBERF, EPC Pollution Recovery Fund, Royal Bank of Canada, USFWS, Bloomin Brands, Mosaic",,225000,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,x
E-322,Picnic Island Mangrove Planting,2019,,Volunteers planted 400 red and white mangroves along the shorline of Picnic Island Park to restore the shoreline and prevent erosion. Keep Tampa Bay Beautiful worked with the City of Tampa Parks Department to select the best sites to make to most impact. ,,Estuarine,Mangrove Forests,Planting,,Enhancement,,5,,,27.84775,-82.55396,Keep Tampa Bay Beautiful,"City of Tampa Parks and Rec, Tree Inc, William Moriaty",,1000,,,Erosion control,,,,,,,,,
LS-082,MacDill AFB Living Shoreline Creation Project,2019, ,"Artificial reefs (oyster bags placed along the shoreline of the beach)-The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms,",,Estuarine,Oyster Bars,,,Restoration,,,,669,27.84324,-82.46943,Tampa Bay Watch,"MacDill Air Force Base, TBERF, EPCHC, Bloomin Brands",,75000,, ,Shoreline Stabilization/Enhancement,,,,,,, ,,x
LS-083,Bermuda Bay,2019,Oyster bag arrays for beach protection,"Oyster arrays aligned along the shoreline, beach sand added to beach area",,Estuarine,Oyster Bars,,,Restoration,,,,450,27.73438,-82.69174,Bermuda Bay Condo Association, ,,22000,,Private,Shoreline Stabilization/Enhancement,,,,,,,19-May,,x
R-138,MacDill AFB Wetland Plant Restoration,2019,,"Transplanted 2,380 plugs of Paspalum vaginatum and 400 plugs of Spartina alterniflora along shoreline- Wetland grass nurseries are established at local schools where students and teachers raise grasses to be transplanted at a restoration site. Students get education and hand-on restoration experience that may lead them to become environmental stewards in the future.",,Estuarine,Intertidal Estuarine (Other),Planting,,Enhancement,,0.12,,,27.853,-82.503,Tampa Bay Watch,"Hillsborough County and School District, Community Foundation of Tampa Bay, TBERF, North American Partnership for Community Action",,5000,,,Erosion control,,,,,,,,,
