View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
18619,2017,Region 4,FL,Tampa Bay Estuary Program,Ft. De Soto Park Burn Unit 22,Vegetation reduction to benefit shorebirds and seabirds followed by prescribed burn.,Coastal grassland on the northwest part of park.,Grassland,Prescribed Burn,,,0,700,Increase or protect water quantity:Protect/improve/provide habitat for birds,Restoration,Pinellas County,,Pinellas County General Operating Budget,Pinellas County,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Uplands (Non-coastal),,48,,27.631,-82.723,,,Uplands,Restoration,,,,,,,
18683,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Blackthorn Memorial,70 volunteers worked to clean up trash and debris on both sides of the bridge approach.,"A park created to commemorate the sinking of the Coast Guard cutter in 1980, located at the North Pier rest stop for the Sunshine Skyway bridge.",Estuarine Shoreline,Debris Removal,,,0,500,Increase or protect water quantity:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Southwest Florida Water Management District,06-SEP-17 03.23.17.915463000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Intertidal Estuarine (Other),,2,,27.648,-82.675,,,Estuarine,Restoration,,,,,,,
18679,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Boyd Hill Nature Preserve,"60 volunteers worked to remove 5 tons on invasive plants, trash and debris in preparation for a prescribed burn.","A 245 acres preserve with unique ecosystems such as hardwood hammocks, sand pine scrub, pine flatwoods, willow marsh, swamp woodlands, and lake shore",Forest/Woodland,Debris Removal,,,0,500,Increase or protect water quantity:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,City of St. Petersburg,06-SEP-17 02.56.10.388060000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Uplands (Non-coastal),,5,,27.726,-82.65,,,Uplands,Restoration,,,,,,,
18677,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Cockroach Bay Preserve,25 volunteers worked to collect 145 pounds of native seeds from the Preserve.  The seeds will then be planted at the Fred and Idah Shultz Preserve.,"A 4,800 acres Preserve consists of numerous mangrove islands and provides nursery areas for snook, red drum, and other gamefish.   Submerged habitats include seagrass beds, hardbottom, and oyster reefs.",Salt Marsh,Other,,,0,250,Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Southwest Florida Water Management District,06-SEP-17 02.25.51.096862000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Low-Salinity Salt Marsh,,,,27.695,-82.502,,,Estuarine,Restoration,,,,,,,
18681,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Lake Lisa Park,"This neighborhood park consists of 10.56 acres of land and 4.48 acres of water.  Thirty two volunteers worked to remove 1 ton of invasive plants and plant 200 native plants from one acre at the Lake Lisa Park in Pasco County, Florida. Project benefits will improve water quantity and quality; protect and increase habitat for other wildlife.",This neighborhood park consists of 10.56 acres of land and 4.48 acres of water.,Lake/Pond,Invasives Control/Removal - Vegetation,,,0,250,Improve or protect water quality:Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Pasco County,06-SEP-17 03.14.35.229455000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Non-forested Freshwater Wetlands,,1,,28.287,-82.697,,,Freshwater,Restoration,,,,,,,
18676,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Moccasin Lake Nature Park to celebrate National Estuaries Week,"25 volunteers worked to remove 1,000 pounds of invasive plants, trash and debris from the Park to celebrate National Estuaries Week.","Moccasin Lake is a 51-acre nature preserve with trails and boardwalks under a canopy of mature oaks and across ponds and creeks, with an array of wildlife including gopher turtles, raccoons, and many birds. It is home to several injured birds of prey.",Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,300,Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,City of Clearwater,06-SEP-17 02.20.52.268624000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Uplands (Non-coastal),,3,,27.975,-82.723,,,Uplands,Restoration,,,,,,,
18675,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Robinson Preserve to celebrate National Estuaries Week,"50 volunteers worked to plant 6,500 plants within Robinson Preserve to celebrate National Estuaries Week.","Robinson Preserve is located in northwestern Bradenton, in the Palma Sola area, across the street from the Palma Sola Botanical Gardens. This 487-acre preserve has undergone an incredible transformation from disturbed farmland to coastal and wetland habitats.",Salt Marsh,Planting,,,0,700,Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Manatee County,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Low-Salinity Salt Marsh,,2,,27.517,-82.664,,,Estuarine,Restoration,,,,,,,
18678,2017,Region 4,FL,Tampa Bay Estuary Program,Give-A-Day for the Bay at Rock Ponds Restoration Site,"40 volunteers worked to remove 1,000 pounds of trash and debris from the site.  Volunteers worked in an area that had not previously been targeted for clean-up.","Project sites that historically were coastal pine flatwoods, scattered hardwood hammocks, and various estuarine and freshwater habitats. Use of the upland areas for agricultural purposes and sand/shell mining removed the majority of the historic plant communities. Restoration includes 645 acres of uplands, such as pine flatwoods and hardwood hammocks, and 398 acres of various estuarine and freshwater habitats.",Estuarine Shoreline,Debris Removal,,,0,450,Increase or protect water quantity:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Southwest Florida Water Management District,06-SEP-17 02.34.09.071183000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Intertidal Estuarine (Other),,,1.2,27.678,-82.497,,,Estuarine,Restoration,,,,,,,
18680,2017,Region 4,FL,Tampa Bay Estuary Program,"Give-A-Day for the Bay at Safety Harbor Restoration site: Waterfront Park, Phase II.","200 volunteers worked to plant 13,000 plants on the restoration site along the shore of upper Tampa Bay after clearing of invasive plants and grading.",The restoration site is located behind the Safety Harbor Spa located on the west coast of Florida and nestled on 22 acres on the west shore of Tampa Bay.,Estuarine Shoreline,Planting,,,0,250,Improve or protect water quality:Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,City Safety Harbor,06-SEP-17 03.00.51.589263000 PM -04:00,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Intertidal Estuarine (Other),,2,,27.991,-82.685,,,Estuarine,Restoration,,,,,,,
18643,2017,Region 4,FL,Tampa Bay Estuary Program,Golden Aster Scrub Preserve,"Reduction of trees, plants and shrubs to allow improve habitats for native plant and animal species.","A 1,236 acres preserve containing sand pine and oak scrub areas. Species located within the park include the Scrub Jay and Golden Aster.",,Other,,,0,,,,Hillsborough County,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,,189,,27.81148,-82.3592,,E-267,Upland,Enhancement,,,,,,,
18653,2017,Region 4,FL,Tampa Bay Estuary Program,Invasive Species Control,"chemical treatment for maintenance control of Brazilian pepper, lead tree, melaleuca, Australian pine and melaleuca throughout 2,300 acres on the southern side of the base.  Invasive grasses were treated through foliar application, and the tree species were primarily treated through basal bark application to kill the plants in place.",Pine forest areas are largely historic planted pine which has not been managed for timber.  Areas of oak hammock and mangrove lined ditches are scattered throughout the pine areas and mangrove estuary predominates along the southern boundary of the site.,Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,218000,Increase or protect water quantity:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,MacDill Air Force Base,,Department of Defense,MacDill Air Force Base,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Uplands (Non-coastal),,1500,,27.843,-82.516,,,Uplands,Restoration,,,,,,,
18644,2017,Region 4,FL,Tampa Bay Estuary Program,Lake Dan Nature Preserve,"Reduction of trees, plants and shrubs to allow improved habitats for native plant and animal species.","A 1,180 preserve in Hillsborough County with habitat conditions important to Sherman�s fox squirrel and gopher tortoise, as well as other wildlife species and plants native to west-central Florida. In addition, these activities will help restore the historic open canopy and diverse herbaceous groundcover of the pine flatwoods ecosystem, while enhancing public safety by reducing excess vegetation in the preserve, which acts as fuel for wild fires.",Forest/Woodland,Other,,,0,35530,Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Hillsborough County,,Hillsborough County Board of County Commissioners,Hillsborough County,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Uplands (Non-coastal),,170,,28.159,-82.641,,,Uplands,Restoration,,,,,,,
18647,2017,Region 4,FL,Tampa Bay Estuary Program,Lower Green Swamp Preserve,"Ditch removal, ditch filling and plugging.  This project will aid with proper water flow and levels.","Preserve includes about 13,000 acres of former cattle ranchland and farmlands that are now being restored to a more a natural state.Species in the area include white-tailed deer, Sherman's fox squirrels, bald eagles and an occasional bobcat.",,"Ditch Removal, Filling, or Plugging",,,0,,,,SWFWMD,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,,1,,28.10331,-82.07985,,R-134,Freshwater,Restoration,,,,,,,
18649,2017,Region 4,FL,Tampa Bay Estuary Program,Lower Green Swamp Preserve - Invasives,Removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.,"Includes about 13,000 acres of former cattle ranchland and farmlands that are now being restored to a more a natural state. Species in the area include white-tailed deer, Sherman's fox squirrels, bald eagles and an occasional bobcat.",,Invasives Control/Removal - Vegetation,,,0,,,,SWFWMD,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,,68,,28.10331,-82.07985,,E-268,Upland,Enhancement,,,,,,,
18654,2017,Region 4,FL,Tampa Bay Estuary Program,"Mangrove Restoration Phase III & IV, Sites 4 and 16",Phase III and IV are extensions of previous mangrove restoration work involving the same techniques.  The goal is removal of upland mounts throughout the site to restore historic hydrology. Mounds are removed using hydroblasting.  Invasive vegetation is removed and the mound material is spread out evenly using the jet to adjust elevation to below mean high water. Newly graded mound areas are planted with appropriate vegetation. Ditch blocks are being installed in the mosquito,"Extensive mangrove estuary that has been degraded through construction of mosquito ditches, and creation of upland mounds.",,Fill Removal,,,0,,,,Tampa Bay Estuary Program,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,,17,,27.83379,-82.51946,,R-135,Estuarine,Restoration,,,,,,,
18671,2017,Region 4,FL,Tampa Bay Estuary Program,McKay Bay South Oyster Reef Creation and Enhancement,"The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms",Artificial reefs (oyster bars and beds placed along the south western shoreline),,,,,0,0,Shoreline Stabilization/Enhancement,,Tampa Bay Watch,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,Oyster Bars,,0.246212121,27.9269,-82.42212,1300,LS-078,Estuarine,Restoration,,,,,,,
18665,2017,Region 4,FL,Tampa Bay Estuary Program,Palmetto Estuary Phase 2A,Side cast fill material from the creation of the Carr Drain was used to create a small coastal upland area with berm breaches that connected a formally disconnected black mangrove forest.  Exotic removal and native plantings were also incorporated,Coastal uplands and estuarine wetlands,,Other,,,0,,,,SWFWMD-SWIM,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,,0.32,,27.51699,-82.5643,,R-136,Mix (estuarine and upland),Restoration,,,,,,,
18650,2017,Region 4,FL,Tampa Bay Estuary Program,Pam Callahan Nature Preserve,Removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.,"This site contains a rare patch of upland habitat in a highly developed area of Town �n Country. The majority of the site consists of coastal wetlands, including salt barrens, salt marsh, and mangrove forest. The surrounding area has been developed with waterfront residential canals, making this an isolated but important natural resource.",Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,20784,Increase or protect water quantity:Protect/improve/provide habitat for other wildlife,Restoration,Hillsborough County,,Hillsborough County Board of County Commissioners,Hillsborough County,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,Uplands (Non-coastal),,20,,27.981,-82.566,,,Uplands,Restoration,,,,,,,
18651,2017,Region 4,FL,Tampa Bay Estuary Program,Wolf Branch Nature Preserve,Removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.,"A 1,400-acre preserve in Hillsborough County, Florida. It offers fishing and hiking opportunities in areas of natural mangrove shoreline, upland cabbage palm hammocks, offshore sea grass beds in Tampa Bay, and tidally-influenced Wolf Branch Creek.",,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,,,,APPROVED,APPROVED,,XRHOSLER,misty@tbep.org,,,78,,27.74531,-82.43984,,E-269,estuarine,Enhancement,,,,,,,
18999,2018,Region 4,FL,Tampa Bay Estuary Program,Alafia River Corridor Preserve,"Alafia River Corridor Preserve removal of invasive vegetation.  The Alafia River Corridor Preserve is a 4,700 acre area of protected lands in Hillsborough County, Florida. Invasive plants were removed/controlled on 444 acres to provide increased habitat for native plants and wildlife.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.","Alafia River Corridor Preserve is a 4,700 acre area of protected lands in Hillsborough County, Florida.",,Invasives Control/Removal - Vegetation,,,0,,,,Audubon of Florida,,,,20-SEP-18 01.32.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,,,444,,27.82264,-82.13595,,E-270,Upland,Enhancement,,,,,,,
18959,2018,Region 4,FL,Tampa Bay Estuary Program,Apollo Beach Coastal Restoration,Apollo Beach coastal restoration/enhancement of 4000 linear feet of tidal wetland planting with sandy substrate and a sparse population of upper-wetland plants located in Hillsborough County.  Students were from East Bay High School and Lennard High School,Supratidal bank with sandy substrate and a sparse population of upper-wetland plants. Eight breakwaters located directly offshore with developing oyster reefs.,,,,Y,0,0,Planting,,Hillsborough County,,,,20-SEP-18 09.12.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),,,0.757575758,27.79247,-82.41909,4000,LS-079,Estuarine,Restoration,,,,,,,
19000,2018,Region 4,FL,Tampa Bay Estuary Program,Bahia Beach Nature Preserve,This property was previously cleared of the citrus trees which in turn allowed some native and non-native plants and shrubs to grow. This project site will be properly graded to transition from oligohaline marsh to forested wetlands and mixed forested wetland habitat after removal of invasives.,,,Vegetation Buffer,,,0,,,,Hillsborough County,,,,20-SEP-18 01.39.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Coastal Uplands,,148,,27.722,-82.468,,E-272,Mix (freshwater and upland),Enhancement,,,,,,,
19001,2018,Region 4,FL,Tampa Bay Estuary Program,Balm Scrub Preserve,"Balm Scrub Preserve removal of invasive vegetation on 51 acres in Hillsborough County.  The preserve is also home to more than 800 acres of intact scrub habitat. This rare and declining habitat supports many protected plant and animal species, many of which cannot survive without it. These species include the Florida golden aster, Florida scrub-jays, indigo snakes, and gopher tortoises. Invasive plants were removed/controlled to provide habitat for native plants and wildlife. This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.","The preserve is also home to more than 800 acres of intact scrub habitat. This rare and declining habitat supports many protected plant and animal species, many of which cannot survive without it. These species include the Florida golden aster, Florida scrub-jays, indigo snakes, and gopher tortoises.",,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,20-SEP-18 01.43.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,51,,27.7877,-82.22889,,E-273,Upland,Enhancement,,,,,,,
18960,2018,Region 4,FL,Tampa Bay Estuary Program,Bay Vista Waterfront Park,Bay Vista Waterfront Park intertidal wetland habitat enhancement project near the mouth of Tampa Bay; City of St. Petersburg. This project consisted of planting .05 acres of Saltmarsh (Spartina alterniflora) and Paspalum vaginatum for shoreline stabilization and habitat enhancement. This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,Intertidal wetland habitat near the mouth of Tampa Bay,,Shoreline Stabilization/Enhancement,,,0,,,,City of St. Petersburg,,,,20-SEP-18 09.48.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),Living Shorelines,0.05,,27.7037,-82.64043,,E-274,Estuarine,Enhancement,,,,,,,
19114,2018,Region 4,FL,Tampa Bay Estuary Program,Blackwater Creek Preserve,"Blackwater Creek Preserve removal of invasive vegetation located in Hillsborough County.  A 1,993 acre preserve in Plant City predominately pine flatwoods, palmetto prairie and riverine swamp with scattered areas of oak hammock, cypress swamp, freshwater marsh and wet prairie. Invasive plants were removed/controlled from 54 acres to provide habitat for native plants and wildlife.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.","A 1,993 acre preserve in Plant City predominately pine flatwoods, palmetto prairie and riverine swamp with scattered areas of oak hammock, cypress swamp, freshwater marsh and wet prairie.",,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,20-SEP-18 12.59.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,54,,28.13527,-82.15874,,E-275,Mix (freshwater and upland),Enhancement,,,,,,,
18968,2018,Region 4,FL,Tampa Bay Estuary Program,Bower Tract Non-native plant removal and control,"The 167 acre Bower Tract Non-native plant removal and control project in Hillsborough County is intended to remove and control non-native and nuisance plants using a variety of methods. The project area includes coastal uplands, mangroves, intact and ditched, mangrove and upland islands, salt barrens and fresh water wetlands. There were 10 large ear pod trees on the eastern berm of Channel A that were cut down and all biomass removed from the site. Stumps were treated with herbicide to prevent re-sprouting. A skid steer with a forestry mulcher was used to clear non-native vegetation on the western Channel A berm and on the firelanes in the uplands. Areas were then treated with herbicide.","The project area includes coastal uplands, mangroves, intact and ditched, mangrove and upland islands, salt barrens and fresh water wetlands. The site is bisected by Channel A which includes the manmade channel berms. These habitats are primarily in a healthy condition with scattered non-native vegetation occurring throughout the site.",,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,20-SEP-18 10.32.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,187,,28.01368,-82.61612,,E-276,"Mix (estuarine, freshwater, and upland)",Enhancement,,,,,,,
19117,2018,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve Flatwoods Restoration,"Brooker Creek Preserve, a 265 acres flatwoods restoration project in Pinellas County.  Project effort to restore the flatwoods� biodiversity and reduce the high fuel loads through mechanical thinning with use of mulching head mower equipment.  This will also allow these areas to be burned under safer conditions and put on a regular burn regime to maintain the plant biodiversity which will also provide good habitat for resident wildlife.  Project benefits include improve water quality and protection/increase of habitats for other wildlife.",flatwoods in Brooker Creek Preserve,Forest/Woodland,Other,,,0,314025,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,Pinellas County,,Pinellas County operating budget,Pinellas County,20-SEP-18 01.29.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,265,,28.1168,-82.6691,,,Uplands,Restoration,,,,,,,
19002,2018,Region 4,FL,Tampa Bay Estuary Program,Cypress Creek Nature Preserve,"Cypress Creek Nature Preserve effort to restore 11 acres of flatwoods’ biodiversity and reduce the high fuel loads through mechanical thinning with use of mulching head mower equipment. Use of roller chopping to mechanically remove vegetation.  The 2500-acre Cypress Creek Nature Preserve is part of a vast wildlife corridor which extends into Pasco and Polk Counties. Cypress Creek drains into the Hillsborough River and thus provides important water quality benefits to the region. Natural habitats within the preserve include hardwood forests and swamps, pine flatwoods, wet prairies, cypress stands and freshwater marshes.","The 2500-acre Cypress Creek Nature Preserve is part of a vast wildlife corridor which extends into Pasco and Polk Counties. Cypress Creek drains into the Hillsborough River and thus provides important water quality benefits to the region. Natural habitats within the preserve include hardwood forests and swamps, pine flatwoods, wet prairies, cypress stands and freshwater marshes.",,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,20-SEP-18 01.48.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,11,,28.13515,-82.40181,,E-277,Upland,Enhancement,,,,,,,
18964,2018,Region 4,FL,Tampa Bay Estuary Program,Fantasy Island Community Creation and Shoreline,Fantasy Island Community creation and shoreline of artificial reefs; oyster domes and oyster shell bar placed along .21 acres of shoreline. The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in,Artificial Reefs (oyster domes and oyster shell bar placed along shoreline).,,,,Y,0,0,Reef Construction - Natural Materials,,Tampa Bay Watch,,,,20-SEP-18 09.01.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Oyster Bars,,,0.023863636,27.86775,-82.42516,126,LS-080,estuarine,Restoration,,,,,,,
19156,2018,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay at Boyd Hill Nature Park,"This project is a Give A Day for the Bay at Boyd Hill Nature Park event located in the City of St. Petersburg. A 245-acre award-winning park with 6 miles of trails & boardwalks.  Unique ecosystems include hardwood hammocks, sand pine scrub, pine flatwoods, willow marsh, swamp woodlands, and lake shore.  Fifty-six volunteers cleared out 40 cubic yards of invasive vines on 3 acres at the Park. .  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.","This project is a Give A Day for the Bay at Boyd Hill Nature Park event. A 245-acre award-winning park with 6 miles of trails & boardwalks.  Unique ecosystems include hardwood hammocks, sand pine scrub, pine flatwoods, willow marsh, swamp woodlands, and lake shore.  Fifty-six volunteers cleared out 40 cubic yards of invasive vines on 3 acres at the Park.",Forest/Woodland,Invasives Control/Removal - Vegetation,,,500,500,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,City of St. Petersburg,20-SEP-18 11.45.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,3,,27.7285,-82.6522,,,Uplands,Restoration,,,,,,,
19157,2018,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay at Brooker Creek Preserve,"Give A Day for the Bay event at Brooker Creek Preserve located in Pinellas County.  Brooker Creek Preserve is approximately 8,700 acres, and the largest natural area in Pinellas County. It consists primarily of forested wetlands and pine flatwoods.  Fifty two volunteers cleared 24,000 pounds of grapevines and collected 280 pounds of trash from 2 acres within the Preserve to control/remove invasive vegetation to improve water quality and protect/provide increase habitat for birds and other wildlife.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.","Brooker Creek Preserve is approximately 8,700 acres, and the largest natural area in Pinellas County. It consists primarily of forested wetlands and pine flatwoods.",Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,353,Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,Pinellas County,20-SEP-18 12.03.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,2,,28.1318,-82.6587,,,Uplands,Restoration,,,,,,,
19159,2018,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay at Moccasin Lake Nature Park,Give A Day for the Bay event to remove/control invasive vegetation at Moccasin Lake Nature Park located in the City of Clearwater. Moccasin Lake Environmental Education Center is a 51-acre gem in the middle of Clearwater featuring trails and boardwalks surrounded by nature and wildlife.  Nearly 20 volunteers worked to remove 20 large contractor garbage bags of invasive Casear Weed from 2 acres at the park.  Benefits of this project include water quality improvements and provide for increase bird and other wildlife habitats. This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,Moccasin Lake Environmental Education Center is a 51-acre gem in the middle of Clearwater featuring trails and boardwalks surrounded by nature and wildlife.,Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,250,Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,City of Clearwater,20-SEP-18 12.10.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,2,,27.9756,-82.7232,,,Uplands,Restoration,,,,,,,
19158,2018,Region 4,FL,Tampa Bay Estuary Program,Give A Day for the Bay at Rock Ponds Restoration Area,"Give A Day for the Bay at Rock Ponds Restoration Area event.  Approximately 1,043 acres of various coastal habitats, including 645 acres of uplands, such as pine flatwoods and hardwood hammocks, and 398 acres of various estuarine and freshwater habitats. The estuarine habitats include: open water tidal channels and lagoons, low and high intertidal marshes, islands, sand/mud flats, deeper water �holes,� natural limestone artificial reefs, and more than 16 miles of new Tampa Bay shorelines.  Fifty two volunteers worked along .5 acres of shoreline at Rock Ponds restoration area to remove trash and debris.  More than 2 tons of debris was collected.","Approximately 1,043 acres of various coastal habitats, including 645 acres of uplands, such as pine flatwoods and hardwood hammocks, and 398 acres of various estuarine and freshwater habitats. The estuarine habitats include: open water tidal channels and lagoons, low and high intertidal marshes, islands, sand/mud flats, deeper water �holes,� natural limestone artificial reefs, and more than 16 miles of new Tampa Bay shorelines.",Estuarine Shoreline,Debris Removal,,,0,607,Improve or protect water quality:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Estuary Program,,Tampa Bay Estuary Program,"Southwest Florida Water Management District, Surface Water Improvement and Management (SWIM) Program",02-OCT-18 02.08.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),,,0.5,27.6762,-82.486,,,Estuarine,Restoration,,,,,,,
