"View_Detail","Federal_Fiscal_Year","Region","State_Code","NEP_Name","Project_Name","Project_Description","Habitat_Description","Habitat_Type","Restoration_Technique","Donated_Land","Data_Unavailable","Total_Project_Cost","Project_Benefits","Activity_Name","Lead_Implementer","Partners","Main_Funding_Source","Site_Owner","Last_Updated_Date","NEP_Comments","HQ_Comments","HQ_Status","Region_Status","Author","Submitter_Email","PrimaryHabitat","SecondaryHabitat","EPA_Section_320","Acres","Miles","Latitude","Longitude","Feet","ID_Number","GeneralHabitat","GeneralActivity","BeforePhotoCredit","BeforePhotoCaption","DuringPhotoCredit","DuringPhotoCaption","AfterPhotoCredit","AfterPhotoCaption"
20010,2019,"Region 4","FL","Tampa Bay Estuary Program","Mangrove planting - Picnic Island","Volunteers planted 400 red and white mangroves along the shorline of Picnic Island Park to restore the shoreline and prevent erosion. Keep Tampa Bay Beautiful worked with the City of Tampa Parks Department to select the best sites to make to most impact.","","","Planting","","","1000","Erosion control","","Keep Tampa Bay Beautiful","City of Tampa Parks and Rec, Tree Inc, William Moriaty","","","30-SEP-19 08.29.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Mangrove Forests","",0,5,NA,27.84775,-82.55396,NA,"E-322","Estuarine","Maintenance","","","","","",""
19733,2019,"Region 4","FL","Tampa Bay Estuary Program","McKay Bay South Oyster Reef Creation Project","Artificial reefs (oyster bags placed along the southwestern shoreline)-The goal of Tampa Bay Watch’s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms","","","","","","225000","Shoreline Stabilization/Enhancement","","Tampa Bay Watch","TBERF, EPC Pollution Recovery Fund, Royal Bank of Canada, USFWS, Bloomin Brands, Mosaic","","","30-SEP-19 10.11.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Living Shorelines","Oyster Bars",0,NA,0.315151515,27.9305,-82.42564,1664,"E-321","Mix (estuarine and freshwater)","Restoration","","","","","",""
19688,2019,"Region 4","FL","Tampa Bay Estuary Program","Perico Preserve Oyster Bars","Perico Preserve Oyster Bar Estuarine shoreline creation in Perico Preserve located in Manatee County.  Forty (40) Volunteers and 12 Staff from Manatee County and Sarasota Bay Estuary Program placed 6.2 tons of recycled oyster shell at Perico Preserve to provide clutch material on an area approximately 300 feet long by 3.5 feet wide or approximately 1000 square feet total.","Estuarine shoreline in Perico Preserve located in Manatee County.","Estuarine Shoreline","Oyster Gardening","","","5000","Improve or protect water quality:Protect/improve/provide habitat for fish/shellfish","Restoration","Manatee County Parks & Natural Resources Department","","Manatee County","Manatee County","30-SEP-19 11.03.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Oyster Bars","Intertidal Estuarine (Other)",0,300,NA,27.501,-82.674,NA,"","Estuarine","Restoration","","","","","",""
19708,2019,"Region 4","FL","Tampa Bay Estuary Program","Prescribed Burning - Units 4-8/4-9 and EOD (3 burns)","Prescribed burn on mix of pine flatwoods, open grassy areas, palmetto","","","Prescribed Burn","","","30000","Protect/improve/provide habitat for other wildlife","","MacDill Air Force Base","USFWS","","","25-SEP-19 01.20.00.000000000 PM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Uplands (Non-coastal)","",0,57,NA,27.837,-82.51,NA,"E-319","Uplands","Maintenance","","","","","",""
19684,2019,"Region 4","FL","Tampa Bay Estuary Program","Robinson Expansion - Winston Tract Enhancement","Robinson Expansion - Winston Tract Enhancement; Mangrove and Coastal Uplands project in Manatee County. Removal of exotic invasive plant species on 53.25 acres to promote growth and diversity of natural plant and wildlife habitats.","Mangrove and Coastal Uplands","Mangrove","Invasives Control/Removal - Vegetation","","","100994","Improve or protect water quality:Protect/improve/provide habitat for other wildlife","Restoration","Manatee County Parks & Natural Resources Department","","Tampa Bay Environmental Restoration Fund","State of Florida with lease to Manatee County","30-SEP-19 10.55.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Mangrove Forests","",0,53.3,NA,27.497,-82.663,NA,"","Estuarine","Restoration","","","","","",""
19754,2019,"Region 4","FL","Tampa Bay Estuary Program","Robinson Preserve Wetland Plant Restoration","Wetland grass nurseries are established at local schools where students and teachers raise grasses to be transplanted at a restoration site. Students get education and hand-on restoration experience that may lead them to become environmental stewards in the future.  Tampa Bay Watch transplanted 4,150 plugs of Paspalum vaginatum and 550 plugs of Spartina alterniflora along .22 acres of shoreline in Manatee County.","Transplanted 4,150 plugs of Paspalum vaginatum and 550 plugs of Spartina alterniflora along shoreline","Salt Marsh","Planting","","","10000","Erosion control:Improve or protect water quality","Restoration","Tampa Bay Watch","","Scott's Miracle-Gro","Manatee County","30-SEP-19 09.07.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Low-Salinity Salt Marsh","",0,0.2,NA,27.514,-82.661,NA,"","Estuarine","Restoration","","","","","",""
19756,2019,"Region 4","FL","Tampa Bay Estuary Program","Rock Ponds Ecosystem Restoration Project Wetland Plant Restoration","Transplanted 4,250 plugs of Paspalum vaginatum along shoreline - Wetland grass nurseries are established at local schools where students and teachers raise grasses to be transplanted at a restoration site. Students get education and hand-on restoration experience that may lead them to become environmental stewards in the future.","","","Planting","","","10000","Erosion control","","Tampa Bay Watch","SWFWMD, Community Foundation of Tampa Bay, TBERF, North American Partnership for Environmental Community Action","","","30-SEP-19 09.27.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Low-Salinity Salt Marsh","",0,0.57,NA,27.659,-82.535,NA,"E-320","Estuarine","Maintenance","","","","","",""
19665,2019,"Region 4","FL","Tampa Bay Estuary Program","Rye Preserve Invasive Plant Maintenance","Contracted and staff initiated control of a broad spectrum of invasive plant species","","","Invasives Control/Removal-Vegetation","","","3381","Protect/improve/provide habitat for other wildlife","","Manatee County","FWC","","","30-SEP-19 10.22.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Forested Freshwater Wetlands","",0,27,NA,27.513,-82.364,NA,"E-310","Freshwater","Maintenance","","","","","",""
19680,2019,"Region 4","FL","Tampa Bay Estuary Program","Rye Preserve Scrub Restoration","Mechanical vegetation redcution using Brown's tree cutter and chainsaw crews to restor aspect and facilitate prescribed fire for the benefit of gopher tortoises","","","Other","","","21000","Protect/improve/provide habitat for other wildlife","","Manatee County","Florida Forest Service, FWC","","","30-SEP-19 04.27.00.000000000 PM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Uplands (Non-coastal)","",0,45,NA,27.51608,-82.36265,NA,"E-311","Uplands","Maintenance","","","","","",""
19656,2019,"Region 4","FL","Tampa Bay Estuary Program","Town N Country Preserve","Mechanical Hardwood Reduction performed to increase habitat diversity of native trees and plants in pine flatwoods, freshwater marshes, and hardwood swamps.","","","Other","","","8945","Protect/improve/provide habitat for other wildlife","","Hillsborough County","","","","16-OCT-19 06.56.00.000000000 PM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Uplands (Non-coastal)","",0,12,NA,28.0241,-82.6007,NA,"E-313","Uplands","Maintenance","","","","","",""
19658,2019,"Region 4","FL","Tampa Bay Estuary Program","Tropicana - Little Manatee River Corridor Preserve","Contracted Removal of any Category 1 and Category 2 Exotic Species in Former Cattle Ranch used as a dumping ground for hurricane debris with small areas of pine flatwoods and hydric hammocks","","","Invasives Control/Removal-Vegetation","","","16545","Protect/improve/provide habitat for other wildlife","","Hillsborough County","","","","30-SEP-19 11.05.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Uplands (Non-coastal)","",0,85,NA,27.6526,-82.2483,NA,"E-314","Uplands","Maintenance","","","","","",""
19764,2019,"Region 4","FL","Tampa Bay Estuary Program","Ulele Springs Flow Augmentation","Increase spring flows","Natural spring run","","Stream flow modification","","","80000","restore natural hydrology","","Ecosphere Restoration Institute","USFWS, FWC, City of Tampa","USFWS","","30-SEP-19 03.26.00.000000000 PM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Tidal Tributaries","",0,1,NA,27.959,-82.462,NA,"E-315","Mix (estuarine and freshwater)","Maintenance","","","","","",""
19766,2019,"Region 4","FL","Tampa Bay Estuary Program","Waterfront Park Living Shoreline and Spring Feature","Spring restoration associated with living shoreline project: removal of 150 LF existing sea wall and concrete; installation of 240 tons of rip rap stone, 36 tons of oyster shell and 3,300 SF of geosynthetic mesh for the oyeter bags; installation of 450 herbaceous estuarine plantings.  Spring Feature work consisted of : Removal of an existing concrete head wall and 15 LF of existing storm pipe, installation of 1 pre-cast flared end section, and installation of 1,200 SF of impervious geotextile fabric, installation of approx. 60 tons of frip rap stone around an existing spring discharging into Tampa Bay, and installation of estuarine plants.","","","Vegetation Buffer","","","200490","Improve or protect water quality","","City of Safety Harbor","TBERF","","","30-SEP-19 09.32.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Intertidal Estuarine (Other)","",0,0.2,NA,27.98927,-82.68581,NA,"R-139","Estuarine","Restoration","","","","","",""
19711,2019,"Region 4","FL","Tampa Bay Estuary Program","Weedon Island Preserve Exotic Vegetation Maintenance","Herbicide spraying of exotic vegetation thorughout 300 acres of Weedon Island Preserve.  All FLEPPC Category I & II species targeted on vegetated uplands and mosquito ditches","","","Invasives Control/Removal-Vegetation","","","1000","Protect/improve/provide habitat for other wildlife","","Pinellas County","","","","09-OCT-19 11.19.00.000000000 AM -04:00","Florida Exotic Pest Plant Council. (10/9/2019 10:55:10 am)
 Examples include Rosary pea, Australian pine.","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Uplands (Non-coastal)","",0,300,NA,27.848,-82.608,NA,"E-316","Uplands","Maintenance","","","","","",""
19712,2019,"Region 4","FL","Tampa Bay Estuary Program","Weedon Island Preserve Exotic Vegetation Maintenance","Herbicide spraying of exotic vegetation throughout 300 acres of Weedon Island Preserve; Vegetated uplands and mosquito ditches.  All FL Exotic Pest Plan Council (FLEPPC) Category I & II species targeted by Pinellas County Parks on approximate 72 acres in Weedon Island Preserve in Pinellas County.  Project benefits will help improve water quality and provide increase  native habitat for wildlife.","Vegetated uplands and mosquito ditches","Other","Invasives Control/Removal - Vegetation","","","200","Improve or protect water quality:Protect/improve/provide habitat for other wildlife","Restoration","Pinellas County Parks and Conservation Resources","","Pinellas County General Operating Budget","Florida Internal Improvement Trust Fund & Pinellas County","30-SEP-19 10.08.00.000000000 AM -04:00","","","APPROVED","APPROVED","XMCLADAS","misty@tbep.org","Uplands (Non-coastal)","",0,72,NA,27.848,-82.608,NA,"E-316","Uplands","Restoration","","","","","",""
20483,2020,"Region 4","FL","Tampa Bay Estuary Program","Abercrombie Park Expansion Project","St. Petersburg purchased 3.5 acres in 2015 and restored the property to restore its natural and cultural features. Over 200 cubic yards of invasive species were removed in FY20. Many native trees and plants have been installed.","Coastal upland habitat with archaeological site with consistent recreational use","Forest/Woodland","Planting","No","","50000","Protect/improve/provide habitat for other wildlife","Enhancement","City of St. Petersburg","none","City of St. Petersburg","City of St. Petersburg","10-SEP-20 07.46.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,2.5,NA,27.80614,-82.75566,NA,"E-323","Uplands","Maintenance","","","","","",""
20290,2020,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bird Sanctuary Oysterbar Habitat Creation Phase 2","Creation of an oyster bar on the south side of Bird Island to control erosion of the bird sanctuary islands and control pollution by providing substrate for oysters that will filter water, and promote growth of salt marsh grass and mangrove vegetation.","Project is to control erosion on the south side of Bird Island, part of the Alfia Bird Sanctuary in Tampa Bay.","Hard Bottom","Shoreline Stabilization/Enhancement","No","","76500","Protect/improve/provide habitat for birds","Establishme","Audubon Florida","","EPC Pollution Recovery Fund (PRF 13-01)","The Mosaic Company and Port Tampa Bay","10-SEP-20 07.49.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Hard Bottom","Artificial Reefs",0,NA,0.142045455,27.84859,-82.40684,750,"LS-085","Estuarine","Restoration","","","","","",""
20273,2020,"Region 4","FL","Tampa Bay Estuary Program","Alafia River Corridor Nature Preserve","Maintenance of existing groundcover restoration area ","Fragmented riverine ecosystem due to previous mining activity along with pine flatwoods","Forest/Woodland","Invasives Control/Removal - Vegetation","No","","11950","Protect/improve/provide habitat for other wildlife","Maintenance","Hillsborough County","","BOCC","SWFWMD / Hillsborough County","10-SEP-20 06.33.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,30,NA,27.825,-82.2974,NA,"E-324","Uplands","Maintenance","","","","","",""
20458,2020,"Region 4","FL","Tampa Bay Estuary Program","Alafia River State Park Native Planting","Volunteers planted 3500 native trees (Longleaf pine and Florida slash pine)","Alafia River State Park is a reclaimed phosphate mine area, and includes habitats from upland pine forests grading to a freshwater riverine system.","Forest/Woodland","Planting","","Y","in-kind","Protect/improve/provide habitat for other wildlife","Enhancement","Keep Tampa Bay Beautiful","","","Florida Department of Environmental Protection","10-SEP-20 07.46.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,20,NA,27.78,-82.14248,NA,"E-325","Uplands","Maintenance","","","","","",""
20282,2020,"Region 4","FL","Tampa Bay Estuary Program","Apollo Beach Nature Preserve","Stabilize shoreline and adjacent soils","Spoil dredged from Tampa Bay then restored as a coastal habitat including a man-made beach","Other","Beach Nourishment","No","","7800","Erosion Control","Protection","Hillsborough County","","BOCC","Hillsborough County","10-SEP-20 06.22.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Intertidal Estuarine (Other)","",0,0.3,NA,27.79217,-82.41919,NA,"E-326","Estuarine","Protection","","","","","",""
20242,2020,"Region 4","FL","Tampa Bay Estuary Program","Aquatic Invasive Species Treatment - Chemical","Chemical treatment of aquatic invasive plant species to allow proper hydrologic flow throughout a Surface Water Improvement and Management area.","Human altered Surface Water Improvement and Management lake, ponds, and canals.","Lake/Pond","Invasives Control/Removal - Vegetation","No","","30000","Improve or protect water quality","Maintenance","United States Air Force","United States Fish and Wildlife Service","United States Air Force","USAF","10-SEP-20 06.25.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Non-forested Freshwater Wetlands","",0,26,NA,27.83207,-82.48362,NA,"E-353","Freshwater","Maintenance","","","","","",""
20288,2020,"Region 4","FL","Tampa Bay Estuary Program","Bahia Beach Invasive Species Management","The project included removal of highly invasive species from important ecological communities, including mangrove forests, coastal hydric hammock and salt barrens in the Bahia Beach area. Staff focused on treating cogon grass in the treatment zone and ELAPP purchased herbicide for future application on the site to treat Brazilian Pepper, as seeds will continue to sprout for 3 years post-treatment. Applied herbicides included Roundup, Garlon, Clearcast, Induce, Glyphosphate, Pendimethalin, and Imazapyr. The project also constructed a public exhibit for seasonal display in the on-site kiosk.","The Bahia Beach area includes mangrove forests, coastal hydric hammock and salt barrens. The highly invasive cogongrass and Brazilian pepper had become an issue on the site.","Mangrove","Invasives Control/Removal - Vegetation","No","","34156","Protect or preserve open space","Enhancement","Hillsborough County Conservation and Environmental Lands Management Department","","EPC Pollution Recovery Fund","Hillsborough County Conservation and Environmental Lands Management Department","10-SEP-20 07.25.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Mangrove Forests","",0,80,NA,27.72108,-82.46384,NA,"E-327","Estuarine","Maintenance","","","","","",""
20276,2020,"Region 4","FL","Tampa Bay Estuary Program","Balm Scrub Preserve","Improve pine flatwoods habitat and reduce fuels to facilitate prescribed burning in urbanized area ","Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest stratum, such as tall (over 30 meters), medium (10-30 meters) and low trees (under 10 meters).","Forest/Woodland","Other","No","","49999","Protect/improve/provide habitat for other wildlife","Enhancement","Hillsborough County","","BOCC","Hillsborough County","10-SEP-20 06.24.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,230,NA,27.74573,-82.28037,NA,"E-328","Uplands","Maintenance","","","","","",""
20275,2020,"Region 4","FL","Tampa Bay Estuary Program","Brooker Creek Headwaters Nature Preserve","Improve pine flatwoods habitat and reduce fuels to facilitate prescribed burning in urbanized area ","Forest/Woodland: An area of land covered by trees and understory vegetation, sometimes mixed with pasture; forests are described in terms of crown cover, such as closed forest, open forest, woodland and open woodland, and in terms of height of the tallest stratum, such as tall (over 30 meters), medium (10-30 meters) and low trees (under 10 meters).","Forest/Woodland","Other","No","","22855","Protect/improve/provide habitat for other wildlife","Enhancement","Hillsborough County","","BOCC","SWFWMD / Hillsborough County","10-SEP-20 06.24.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,50,NA,28.13785,-82.56036,NA,"E-329","Uplands","Maintenance","","","","","",""
20296,2020,"Region 4","FL","Tampa Bay Estuary Program","Brooker Creek Preserve (""Mount Brooker"") Exotics Control","Nuisance exotic vegetation control, including cogongrass, Brazilian pepper, and Chinese tallow trees. Methods included bush hog mowing and herbicide application (Glyphosate, Triclopyr, and Imazapyr).","Disturbed areas in the south end of Brooker Creek Preserve, north Pinellas County","Forest/Woodland","Invasives Control/Removal - Vegetation","No","","33000","Protect/improve/provide habitat for other wildlife","Rehabilitat","Pinellas County","None","Operating Budget","Pinellas County","10-SEP-20 06.28.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,40,NA,28.06587,-82.67212,NA,"E-331","Uplands","Maintenance","","","","","",""
20295,2020,"Region 4","FL","Tampa Bay Estuary Program","Brooker Creek Preserve Flatwoods Restoration","Increase the flatwoods’ biodiversity and reduce the high fuel loads through mechanical thinning with use of mulching head mower equipment.  This will also allow these areas to be burned under safer conditions and put on a regular burn regime to maintain the plant biodiversity, which will also provide good habitat for resident wildlife.","Pine flatwoods in Brooker Creek Preserve, north Pinellas County","Forest/Woodland","Debris Removal","No","","227520","Protect/improve/provide habitat for other wildlife","Enhancement","Pinellas County","None","Operating Budget","Pinellas County","10-SEP-20 06.24.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,192,NA,28.09642,-82.65563,NA,"E-330","Uplands","Maintenance","","","","","",""
20298,2020,"Region 4","FL","Tampa Bay Estuary Program","Brooker Creek Preserve SE of FFS Shop Burn","Prescribed Burn","Pine flatwoods in Brooker Creek Preserve, north Pinellas County","Forest/Woodland","Prescribed Burn","No","","2000","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Forest Service","Pinellas County","In lieu of rent for FFS on-site worksite","Pinellas County","10-SEP-20 07.48.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,4,NA,28.14474,-82.6545,NA,"E-332","Uplands","Maintenance","","","","","",""
20297,2020,"Region 4","FL","Tampa Bay Estuary Program","Brooker Creek Preserve Site 9N & 9S Burn","Prescribed Burn","Pine flatwoods in Brooker Creek Preserve, north Pinellas County","Forest/Woodland","Prescribed Burn","No","","7136","Protect/improve/provide habitat for other wildlife","Maintenance","Florida Forest Service","Pinellas County","In lieu of rent for FFS on-site worksite","Pinellas County","10-SEP-20 07.48.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,15,NA,28.12005,-82.65111,NA,"E-333","Uplands","Maintenance","","","","","",""
20268,2020,"Region 4","FL","Tampa Bay Estuary Program","Chito Watershed Activities","Invasive Plant Control, prescribed burn, and 67 invasive and feral hogs controlled","Chito surrounds the C.W. Bill Young Regional Reservoir.  The property consists of wetlands, pine and scrubby flatwoods, scrub, freshwater marsh, and pasture.","Forest/Woodland","Invasives Control/Removal - Vegetation","No","","13295","Protect or preserve open space","Rehabilitat","Southwest Florida Water Management District","","Internal","Southwest Florida Water Management District","10-SEP-20 06.28.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,2103,NA,27.811,-82.166,NA,"E-334","Uplands","Maintenance","","","","","",""
20457,2020,"Region 4","FL","Tampa Bay Estuary Program","City Island Park planting (a)","94 Volunteers planted 500 native plants including mangroves, live oak, gumbo limbo, mulberry, and sea grape.","City Island Park on the Interbay Peninsula includes dune and mangrove habitats along with multiple passive recreation options.","Forest/Woodland","Planting","","Y","","Protect/improve/provide habitat for other wildlife","Enhancement","Keep Tampa Bay Beautiful","City of Tampa","Keep Tampa Bay Beautiful","City of Tampa","10-SEP-20 07.42.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,3,NA,27.85215,-82.55263,NA,"E-335","Uplands","Maintenance","","","","","",""
20460,2020,"Region 4","FL","Tampa Bay Estuary Program","City Island Park planting (b)","20 volunteers installed native plants, including Dune sunflower, Railroad vine, and Muhly grass on a newly created sand dune.","City Island Park on the Interbay Peninsula includes dune and mangrove habitats along with multiple passive recreation options.","Dune","Erosion Control","","","8000","Erosion Control","Enhancement","Keep Tampa Bay Beautiful","City of Tampa","Keep Tampa Bay Beautiful","City of Tampa","10-SEP-20 06.25.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Coastal Uplands","",0,NA,1,27.84807,-82.55449,NA,"E-336","Uplands","Maintenance","","","","","",""
20315,2020,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay Planting (Give-A-Day)","23 volunteers planted coastal upland species, including Licania michauxii, Gaillardia pulchella, and Muhlenbergia capallaris in an area where invasive plants were recently removed.","Cockroach Bay Nature Preserve is 500 acres of wetlands, uplands and coastal habitats. Restoration took place on a secondary dune of 'Mount Cockroach', a hill created from intertidal excavation.","Dune","Sand Dune Restoration","No","","500","Protect/improve/provide habitat for other wildlife","Establishme","Tampa Bay Estuary Program","Hillsborough County","EPA Work Plan","Hillsborough County","10-SEP-20 07.50.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Coastal Uplands","",250,0.3,NA,27.69233,-82.50491,NA,"R-141","Uplands","Restoration","","","","","",""
20308,2020,"Region 4","FL","Tampa Bay Estuary Program","Coffee Pot Bayou Watershed Alliance","Project included invasive species (Wedelia, Brazilian pepper, and Gray nickerbean) removal, debris removal, and native planting (such as Ilex glabra, Conocarpus erectus, and Cocoplum) in and along shores of Coffee Pot Bayou (north St. Petersburg)","Project took place in forested upland which receives stormwater from residential and commercial properties","Forest/Woodland","Invasives Control/Removal - Vegetation","No","","3500","Protect/improve/provide habitat for other wildlife","Rehabilitat","Coffeepot Bayou Watershed Alliance","Tampa Bay Estuary Program, Canturbury School of Florida, Friends of Crescent Lake, North Shore Elementary School, Saint Thomas Episcopal Church","Bay Mini-Grant","Snell Isle (St. Petersburg) Residents","10-SEP-20 06.31.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,NA,0.079545455,27.7988,-82.632,420,"E-337","Uplands","Maintenance","Walt Jaap","""Project area with dense growth of Sea Hibiscus and Grey Nicker Bean.""","Walt Jaap","Front end-loader removing dense vine growth from site.","Walt Jaap","The area cleared of debris"
20265,2020,"Region 4","FL","Tampa Bay Estuary Program","Coker Watershed Activities","Invasive Plant Control and prescribed burning","Dominant natural communities include pine flatwoods, scrubby flatwoods, scrub, freshwater marsh, and hardwood hammock. Southern marsh retains water after rains and slowly releases into the Myakka River.","Forest/Woodland","Invasives Control/Removal - Vegetation","No","","7512","Protect or preserve open space","Rehabilitat","Southwest Florida Water Management District","","Internal","Southwest Florida Water Management District","10-SEP-20 06.31.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,414,NA,27.448,-82.2,NA,"E-338","Uplands","Maintenance","","","","","",""
20359,2020,"Region 4","FL","Tampa Bay Estuary Program","Crescent Lake Sustainability Council Project","Project removed over 58,000 lbs of invasive plants (primarily Pistia sp.) and debris, followed by the planting of over 600 native plants (including species such as Canna flaccida, Valisneria americana, and Crinum americanum)","Recreational urban park encircling Crescent Lake in St. Petersburg","Lake/Pond","Invasives Control/Removal - Vegetation","No","","41000","Protect/improve/provide habitat for fish/shellfish","Enhancement","St. Pete Sustainability, Keep Pinellas Beautiful","Tampa Bay Estuary Program, USFSP, Crescent Heights Neighborhood Assn., Coffeepot Bayou Watershed Alliance, Florida LAKEWATCH, St. Petersburg Stormwater, Jacobs Engineering","Bay Mini-Grant","City of St. Pete","10-SEP-20 06.26.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Non-forested Freshwater Wetlands","",0,8,NA,27.78753,-82.64112,NA,"E-339","Freshwater","Maintenance","","","","","",""
20272,2020,"Region 4","FL","Tampa Bay Estuary Program","Cypress Creek Watershed Activities","Invasive plant control and prescribed burn","Cypress Creek is a tributary of the Hillsborough River.  Cypress Creek threads its way through cypress and hardwood forest.  Property includes high ridges and flatwoods.","Forest/Woodland","Invasives Control/Removal - Vegetation","No","","9076","Protect or preserve open space","Rehabilitat","Southwest Florida Water Management District","","Internal","Southwest Florida Water Management District","10-SEP-20 06.26.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,201,NA,28.271,-82.411,NA,"E-340","Uplands","Maintenance","","","","","",""
20277,2020,"Region 4","FL","Tampa Bay Estuary Program","Double Branch Nature Preserve","Improve pine flatwoods habitat and reduce fuels to facilitate prescribed burning in urbanized area ","Forest/Woodland along wih Tidal Wetland: Sheltered waters along the coast which are affected by both tides and freshwater run-off.","Forest/Woodland","Other","No","","25440","Protect/improve/provide habitat for other wildlife","Enhancement","Hillsborough County","","BOCC","Hillsborough County","10-SEP-20 06.24.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,48,NA,28.01931,-82.62445,NA,"E-341","Uplands","Maintenance","","","","","",""
20382,2020,"Region 4","FL","Tampa Bay Estuary Program","Duette Preserve Long Leaf Pine Canopy Restoration","Continue canopy restoration effort in longleaf pine savannahs via planting of 5,000 containerized 1 gallon Long leaf pines (Pinus palustris)","Upland habitats with high quality understory vegetative composition which had been historically logged wich removed overstory from the landscape.","Forest/Woodland","Planting","","","2500","","Reestablish","Manatee CountyParks & Natural Resources Department","","","Manatee County","10-SEP-20 07.09.00.000000000 PM -04:00","","","APPROVED","APPROVED","XGRAULER","graulerson@tbep.org","Uplands (Non-coastal)","",0,172,NA,27.51405,-82.16678,NA,"R-142","Uplands","Restoration","","","","","",""
